,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
1435,1436,Puducherry,Pondicherry, 15. Botanical Garden ,All Year, 2 km  from city center ," A popular tourist attraction of Pondicherry, Botanical Garden was established by C.S. Perrotet in the year 1862. The garden is home to several exotic varieties of rare plants as well as an aquarium. "
1436,1437,Puducherry,Pondicherry, 16. Pondicherry Lighthouse ,All Year, 16 out of 48  places to visit in Pondicherry ," The Lighthouse is one of the remarkable landmarks in Pondicherry. The French Riviera of the East, Pondy has two lighthouses, an old one and the new one. Where the former has been closed for public appearance the latter serves as the spot for giving its visitors the most amazing bird's eye view of the city.  "
1437,1438,Puducherry,Pondicherry, 17. Take the Kids to Jawahar Toy Museum ,All Year, 3 km  from city center ," An ideal place for kids, Jawahar Toy Museum is a well maintained place situated at the old light house building near Gandhi Maidan. The museum houses a wide range of dolls and toys collected from all over the country. "
1438,1439,Puducherry,Pondicherry, 18. Raj Niwas ,All Year, 3 km  from city center ," Previously known as Palais du Government, Raj Niwas is an eighteenth century building presently serving as the residence of Lieutenant Governor of Pondicherry. "
1439,1440,Puducherry,Pondicherry, 19. French War Memorial ,All Year, 3 km  from city center , French War Memorial is a stylish structure located in the Goubert Avenue and is dedicated to the soldiers who lost their lives in the First World War. 
1440,1441,Puducherry,Pondicherry, 20. Sri Manakula Vinayagar Temple ,All Year, 3 km  from city center ," Sri Manakula Vinayagar Temple is an ancient temple dedicated to Lord Ganesha and is said to have been established almost 5 centuries ago. Situated behind the Raj Niwas, the sanctum is enshrined with a grand idol of Vinayaka called Vellakkaran Pillai. "
1441,1442,Puducherry,Pondicherry, 21. Pondicherry Museum ,All Year, 3 km  from city center ," Located in the Bharathi Park, Pondicherry Museum houses a fantastic collection of sculptures. It has the remains of the archeological findings from the Arikamedu Roman settlement. "
1442,1443,Puducherry,Pondicherry, 22. Veerampattinam Beach ,All Year, 3 km  from city center ," Located on the outskirts of Pondicherry in the largest coastal village called Veerampattinam, Veerampattinam Beach has an extensive coastline and is counted among the most beautiful beaches of the tinsel town. Since the beach is little known, tourist inflow is minimum and the beach boasts of golden sands and pollution free environs.  "
1443,1444,Puducherry,Pondicherry, 23. Gokilambal Thirukameswar Temple ,All Year, 6 km  from city center ," Situated 11 km from the Pondicherry in small town of Villianur, Gokilambal Thirukameswarar Temple is a beautiful temple dedicated to Lord Shiva. However, one can clearly witness the French influence over the temple through their varied traditions. "
1444,1445,Puducherry,Pondicherry, 24. Chidambaram ,All Year, 59 km  from city center , Chidambaram is a highly revered temple town located about 58 km from Pondicherry. The town is known for its several ancient shrines and historic buildings. 
1445,1446,Puducherry,Pondicherry, 25. Relax in Bharathi Park ,All Year, 3 km  from city center ," Bharathi Park is a well planned and well maintained park flanked by some of the most important government buildings on all the sides. Serving as a popular tourist attraction since the times of British, this place is ideal to relax and unwind. "
1446,1447,Puducherry,Pondicherry, 26. Immaculate Conception Cathedral ,All Year, 3 km  from city center , Immaculate Conception Cathedral or Eglise de Notre Dame de la Conception Immaculee Church is a beautiful place of worship established in year 1686. Dedicated to St. 
1447,1448,Puducherry,Pondicherry, 27. Varadaraja Perumal Temple ,All Year, 3 km  from city center ," Varadaraja Perumal Temple is an ancient temple dating back to 12th century and is of great religious significance. Situated in Villiannur, the structure of the temple is very attractive and is highly revered by its devotees. "
1448,1449,Puducherry,Pondicherry, 28. Church of Our Lady of Angels ,All Year, 3 km  from city center ," Also known as Eglise de Notre Dame des Anges, the Church of Our Lady of Angels is mainly renowned for its immaculate stone work. The beautiful texture of white marble is highlighted by using the fusion of limestone and egg white. "
1449,1450,Puducherry,Pondicherry, 29. The Statue of Dupleix ,All Year, 3 km  from city center ," Commissioned in the year 1870, this 3 meter high statue was established to honour Francois Dupleix, who governed Pondicherry till 1754. This statue situated at the Place du Republique is built over amazing granite columns. "
1450,1451,Puducherry,Pondicherry, 30. Aayi Mandapam ,All Year, 3 km  from city center ," Standing sturdy at the centre of the Bharathi Park in Pondicherry, Aayi Mandapam or Park Monument is a pearly white edifice built during the reign of Napolean III, Emperor of France. The monument was built in the honour of the female courtesan Ayi who tore down her own house to build a water reservoir for the city.  "
1451,1452,Puducherry,Pondicherry, 31. Meeran Mosque ,All Year, 2 km  from city center ," One of the most revered religious spot by Muslims; Meeran Mosque was built about three hundred and fifty years ago. In fact, it serves as the oldest mosque in Pondicherry with a distinct type of architecture. "
1452,1453,Puducherry,Pondicherry, 32. Cluny Embroidery Centre ,All Year, 3 km  from city center ," Housed in an 18th century heritage bungalow on the Rue Romain Rolland Street, Cluny Embroidery Centre is a wonderful venture started by a local convent to provide employment to underprivileged women. The building was supposedly donated by a French woman to help the poor women in need and is currently run by Catholic nuns.  "
1453,1454,Puducherry,Pondicherry, 33. Ananda Ranga Pillai Mansion ,All Year, 3 km  from city center ," Located on the Ranga Pillai Street, opposite the Grand Bazaar, Ananda Ranga Pillai is one of the most ancient heritage buildings of Pondicherry. Built in 1735, the house was named after the courtier Ananda Ranga Pillai, of the French Governor- Joseph Francois Dupleix.  "
1454,1455,Puducherry,Pondicherry, 34. Ganesh Garden ,All Year, 2 km  from city center ," Located on the Ramarajda Street in Pondicherry, Ganesh Garden is a quaint little botanical garden maintained by a French couple. Housed in a residential building, the garden cum nursery has a plethora bushes and shrubberies from medicinal plants to flowering plants. The place has been kept and groomed impressively and is a must visit for gardening enthusiasts. "
1455,1456,Puducherry,Pondicherry, 35. ISKCON Pondicherry ,All Year, 4 km  from city center ," Situated in the Krishna Nagar locality of Pondicherry, ISKCON Pondicherry is a Hindu revered temple dedicated to Lord Krishna and his consort, colloquially known as ‘Ashta Devi’. More precisely, the centre is a spiritual society, the name ‘ISKCON’ literally translating to International Society for Krishna Consciousness. "
1456,1457,Puducherry,Pondicherry, 36. Capture some Pictures in Ousteri Wetland and National Park ,All Year, 9 km  from city center ," A national park rich in flora and fauna, Ousteri Wetland and National Park lay 10 km from Pondicherry town on the Pondicherry-Villuppuram road. Spread across an area of 3. "
1457,1458,Puducherry,Pondicherry, 37. Sri Karneshwar Nataraja Temple ,All Year, 3 km  from city center ," Located on the Pudhukuppam Beach in Pondicherry, 12 kms north of Auroville, Sri Karneshwar Nataraja Temple is the most unusual and yet one of the most beautiful temples present in India. Constructed in a pyramid shape, the temple is built to resemble the great pyramids of Egypt.  "
1458,1459,Puducherry,Pondicherry, 38. International Center for Yoga Education and Research (ICYER) ,All Year, 8 km  from city center ," ICYER is a complete traditional ashram which unlike other yoga centres requires a strict decipline, routine and devotion towards a yogic living. ICYER follows the gurukul method of teaching till date and the students are required to reside in the ashram living with the guru and his family. The centre believes that total immersion into the yogic living is achieved through the process. The ashram does not offer vacation yoga courses, instead has residential teacher training course of 6 month duration. Advanced teachers training course of additional 6 months is offered to the ones who have completed the first 6 months. "
1459,1460,Puducherry,Pondicherry, 39. Mahatma Gandhi Statue ,All Year, 3 km  from city center ," The four-meter high statue of Mahatma Gandhi is surrounded by eight granite pillars, which were supposedly brought from Gingee, a fort some 70 km from Pondicherry. The statue is placed in the middle of a garden situated at Dumas Street and attracts tourists in large number. "
1460,1461,Puducherry,Pondicherry, 40. Auroville Ashram ,All Year, 10 km  from city center ," Conceived as the 'Universal Town', the Auroville Ashram is a great epitome of community living. This is where people of different nationalities, culture, religion, traditions all come together to truly live in peace and harmony. "
1461,1462,Puducherry,Pondicherry, 41. Relish a Mesmerizing Sunrise ,All Year, 41 out of 48  places to visit in Pondicherry ," One thing that you must definitely witness while on a trip to Pondicherry is the very mesmerising sunrise. The lovely beaches, or the gorgeous colonies, or even the promenades, are all amazing locations to experience a wonderful orange sun rise above the horizon. This is one of the top things to do in Pondicherry and is sure to stay with you for a long long time. "
1462,1463,Puducherry,Pondicherry, 42. Yanam Beach ,All Year, 595 km  from city center ," Situated in the town of Yanam, the Yanam Beach is an excellent getaway for those looking to spend quiet time away from the crowds. The vast expanse of the waters beckons tranquil boat rides, as well as a walk along the Ferry Road,  can be both exciting and calming. Yanam Beach also called the Rajiv Gandhi Beach, is one of the most famous attractions of the town. One can sit back on cement chairs enjoying the quiet views of the beach side or enjoy a perfect picnic with family on a pleasant day. "
1463,1464,Puducherry,Pondicherry, 43. White Town ,All Year, 3 km  from city center ," Known as the French Colony of Pondicherry, White Town is a residential area in town which boasts of an interwoven culture of the Tamils and the primal French families. Flaunting cobblestone streets and mustard yellow houses, the colony retains the old world charm, daintiness and also the architecture of ancient French Quarters. Most of these have been converted into heritage hotels, restaurants, quirky cafes and art galleries. The buildings are mostly painted in pale yellow colour or shades of it and the well paved clean pathways are lined with shady trees. "
1464,1465,Puducherry,Pondicherry, 44. Vedapureeswarar Temple ,All Year, 133 km  from city center ," The Sri Vedapureeswarar temple is an ancient temple located in the southern union territory of Pondicherry also known as Puducherry. The temple is constructed in Dravidian style architecture and houses the all-mighty Lord Shiva. The Vedapureeswarar temple was demolished by the French in the year 1748, and it is also believed to have been demolished by the Muslims earlier. With the help of the funds of the people, the temple was re-established by the people. The temple has a seven-tiered entrance to the temple. "
1465,1466,Puducherry,Pondicherry, 45. Karaikal Beach ,All Year, 111 km  from city center ," Located in Pondicherry’s Karaikal city, Karaikal Beach is a popular one owing to its breathtaking views. It is a natural beach that lies on the Bay of Bengal and attracts large crowds throughout the year since it is an excellent spot for a dip and for evening walks. An ideal place to witness the sunset, there is a rocky path here to walk on, fishing boats to watch and plenty of opportunities for nature photography. Besides food joints and shops around the beach, there is also a park to visit. "
1466,1467,Puducherry,Pondicherry, 46. Quiet Beach ,All Year, 5 km  from city center ," As the name suggests, Quiet Beach in Pondicherry is a calm and serene location that is a hidden gem for most. With clear water, golden sand and big waves, it is perfect for a relaxing day of picnicking, sunbathing, collecting pretty shells, building sandcastles and more. "
1467,1468,Puducherry,Pondicherry, 47. Mahe Beach ,All Year, 3 km  from city center ," Located close to Kannur, Mahe Beach in Pondicherry is a quiet and clean beach that also forms Kerala's northern coast. Lined with tall palm trees, the beach is a must-visit during the early hours of the morning to witness the gorgeous sunrise while walking on the white sand along the blue waters. Not only is it ideal for swimming but also for beach sports like volleyball; for those looking to relax, the view of the sunset here is absolutely spectacular. There are restaurants around that serve delicious food and shops that sell souvenirs. "
1468,1469,Puducherry,Pondicherry, 48. Reppo Beach ,All Year, 3 km  from city center ," A relatively unknown beach located in Pondicherry’s Vaithikuppam area, Reppo Beach is a peaceful location that is generally free of massive crowds. Known for its spectacular views of the sunset, it is ideal for swimming and surfing. There are quite a few fisherman’s boats around and once in a while a cargo ship passes by as well. It is the place to visit if you are looking for some peaceful time away from the crowds and want to enjoy nature. "
1469,1470,Madhya Pradesh,Khajuraho, 1. Light and sound show ,All Year, 1 km  from city center ," After the visit to the temple complex is over, a light and sound show is carried out which is narrated by veteran actor Mr. Amitabh Bachhan. "
1470,1471,Madhya Pradesh,Khajuraho, 2. Dulhadev Temple ,All Year, 1 km  from city center ," Built in the year 1130 the Dulhadev Temple enshrines a beautiful shivalingam and striking sculptures of Apsaras and other ornamented figures. The temple also has a stunning sculpture of Lord Shiva with his wife Parvati, the intricate details of the carvings adding to the charm of the overall architecture. "
1471,1472,Madhya Pradesh,Khajuraho, 3. Kandariya Mahadev Temple ,All Year, 2 km  from city center ," Built around 1025-1050 AD, this temple exudes grandeur and finesse in its architecture. With beautiful frescos of women in various postures adorning the walls of this temple, this place is one of the most stunning tourists sites in Khajuraho. "
1472,1473,Madhya Pradesh,Khajuraho, 4. Lakshman Temple ,All Year, 2 km  from city center ," The oldest and most aesthetically pleasing temples among the Western group of Temples, the Lakshman temple is named after the ruler of that time. The trinity of Brahma, Vishnu and Shiva is depicted in the horizontal beam over the entrance of the temple. "
1473,1474,Madhya Pradesh,Khajuraho, 5. Parsvanath temple ,All Year, 2 km  from city center ," This temple is the largest among the Eastern group of temples and has intricately detailed carvings on its walls. The most intriguing side of the architecture of this temple is the aesthetic blend of Hindu, muslim and Buddhist styles. "
1474,1475,Madhya Pradesh,Khajuraho, 6. Vishwanath Temple ,All Year, 2 km  from city center ," Dedicated to Lord Shiva, this temple is one among the western group of temples. It has a beautiful marble shivalinga as the main deity. An imposing image of Brahma is also housed in this temple. A massive sculpture of Nandi the Bull is also enshrined alongside the Shivalingam. "
1475,1476,Madhya Pradesh,Khajuraho, 7. Lakshmi temple ,All Year, 2 km  from city center ," Dedicated to Goddess Lakshmi, the Hindu deity of wealth. This temple houses some moderate shrines and is comparatively smaller than the other temples in Khajuraho. "
1476,1477,Madhya Pradesh,Khajuraho, 8. Javari Temple ,All Year, 2 km  from city center ," Javari Temple is another temple from the Khajuraho Group of Monuments enshrined by Lord Vishnu although the idol of the presiding deity is broken and headless. The temple is rather tiny and has been built in Shikhara style of architecture. The temple also has sculptures of Navagrahas, Shiva, Vishnu and Brahma at the entrance gate of the sanctum. "
1477,1478,Madhya Pradesh,Khajuraho, 9. Devi jagdamba Temple ,All Year, 3 km  from city center ," Initially built as a Vishnu temple, the Devi Jagdamba temple has beautifully carved erotic figures. The Garba Griha houses a stunning sculpture of the Goddess of the Universe. The temple also houses a beautiful image of Goddess Parvati, with the image of Mithuna. "
1478,1479,Madhya Pradesh,Khajuraho, 10. State Museum of Tribal and Folk Art ,All Year, 3 km  from city center ," Housed within the Chandela Cultural Complex in Khajuraho, Madhya Pradesh, State Museum of Tribal and Folk Art well maintained tiny repository of old scriptures of tribal art and culture in the form of masks, terracotta sculptures, folk- paintings, bamboo articles and other collectibles. The museum also has a beautiful garden surrounding it. "
1479,1480,Madhya Pradesh,Khajuraho, 11. Archaeological Museum Khajuraho ,All Year, 3 km  from city center ," Archaeological Museum is located near the Western Group of Temples in Khajuraho and was originally known as the Jardine Museum. Housing over 2000 items, the museum has relics from the 10th and 12th century temples of Hinduism and Jainism. "
1480,1481,Madhya Pradesh,Khajuraho, 12. Raneh Falls ,All Year, 0 km  from city center ," Located at a distance of 20 kms from Khajuraho, Raneh Falls are mesmerising natural waterfalls over river Ken. The river has carved a deep canyon in the valley made of crystalline granite in shares of red, pink and grey. There are several small and big waterfalls emerging from this gorge, collectively called as Raneh Falls. "
1481,1482,Madhya Pradesh,Khajuraho, 13. Adinath Temple ,All Year, 2 km  from city center ," This is a jain temple dedicated to the Jain God Tirthankar. With exquisite sculpted figures, including yakshis this is one of the most beautiful jain temples in Madhya Pradesh. "
1482,1483,Madhya Pradesh,Khajuraho, 14. Khajuraho Dance Festival ,All Year, 2 km  from city center ," Every year, Khajuraho dance festival is  organized in February or March.  This festival attracts loads of travellers including the international ones. They attend the festival enthusiastically and they get the opportunity to explore the rich Indian culture and its marvelous history.(br) This festival is organized by the Madhya Pradesh Kala Parishad. Many world famous artists come and perform here.  The ambience around is full of art and passion and the background of the magnificent Khajuraho temples enhances the beauty of the festival.  "
1483,1484,Madhya Pradesh,Khajuraho, 15. Chaturbhuj Temple ,All Year, 1 km  from city center ," Chaturbhuj Temple is situated in the Jatakari village of Khajuraho and is also known as Jatakari Temple. Enshrined by Lord Vishnu, the temple is free of any erotic carvings or sculptures and hence is considered a unique temple in the region. Rectangular in shape, the shrine built on a raised platform and is visited by a large number of pilgrim all through the year. "
1484,1485,Madhya Pradesh,Khajuraho, 16. Varaha Temple ,All Year, 2 km  from city center ," Varaha Temple is built in the Western Group of Temple Complex in Khajuraho, Madhya Pradesh and is enshrine by a massive idol of Varaha - the incarnation of Lord Vishnu in the form of a boar. Made in sandstone, the sculpture has numerous carvings all over its body and depict Goddess Saraswati at one certain place on the body. "
1485,1486,Madhya Pradesh,Khajuraho, 17. Matangeshwar Temple ,All Year, 2 km  from city center ," Built among the Western Group of Temple Complex in Khajuraho, Madhya Pradesh, Matangeshwar Temple is a rather plainly designed temple dedicated to Lord Shiva. Made of sandstone, the temple houses a large shivalinga which has Nagari and Persian inscriptions carved on it. The temple is a popular site among Shiva devotees. "
1486,1487,Madhya Pradesh,Khajuraho, 18. Nandi Temple ,All Year, 2 km  from city center ," Nandi Temple is a part of Khajuraho Group of Monuments which is a World Heritage Site in Khajuraho, Madhya Pradesh. The temple is dedicated to Nandi- the bull which is the mount of Lord Shiva. As is customary, the temple is built across the shrine of Lord Shiva called Vishvanatha Temple. "
1487,1488,Madhya Pradesh,Khajuraho, 19. Vaman Temple ,All Year, 3 km  from city center , Vamana Temple in Khajuraho is dedicated to Vamana- the fifth incarnation of Lord Vishnu and is one among the Khajuraho Group of Monuments. The exterior walls of the shrine have erotic carvings of nymphs and celestial bodies and different women in several different postures. The beautiful site is a popular tourist spot and is thronged by tourists all through the year. 
1488,1489,Madhya Pradesh,Khajuraho, 20. Chitragupta Temple ,All Year, 3 km  from city center , Chitragupta Temple in Khajuraho is enshrined by Sun God- Surya and dates back to the 11th century. The presiding deities is riding a chariot with seven horses. The exterior walls of the shrine have carvings of several gods and erotic couples. The site is popular among tourists and devotees alike. 
1489,1490,Madhya Pradesh,Khajuraho, 21. Shantinath Temple ,All Year, 2 km  from city center ," Shantinatha Temple is a Jain temple counted as a World Heritage Site along the Khajuraho Group of Monuments. The temple is presided by Shantinatha; however, it has idols of other Jain tirthankaras as well, including a colossal statue of Adinatha. The temple has been renovated but still bears inscriptions from the bygone era. "
1490,1491,Madhya Pradesh,Khajuraho, 22. Beni Sagar Dam ,All Year, 6 km  from city center ," Located on the outskirts of Khajuraho city, Beni Sagar Dam has been built over River Khudar and is a masterpiece of magnificence. It also facilitates recreation activities like boasting, fishing, angling etc. and is popular for day picnic and leisure. The damalso offers spectacular views of the sunrise and sunset. "
1491,1492,Madhya Pradesh,Khajuraho, 23. Dhubela Museum ,All Year, 49 km  from city center ," Also known as Maharaja Chhatrasal Museum, Dhubela Museum is located in Dhubela, 62 kms from Khajuraho. Boasting of a serene setting on the banks of Dhubela lake and housed in the premises of Maharaja Chhatrasal Palace, the museum displays an extensive collection of sculptures, arms, armoury, miniature paintings etc., spread over 8 galleries. "
1492,1493,Madhya Pradesh,Khajuraho, 24. Jain Museum ,All Year, 3 km  from city center ," Located in the Jain Temples Complex, Jain Museum is a circular building housing huge statues and sculptures of Jain tirthankaras and yakshis. The entrance gate is flanked by the mythical creatures - Makara Torana. "
1493,1494,Madhya Pradesh,Khajuraho, 25. Chausath Yogini Temple ,All Year, 2 km  from city center ," The Chausath Yogini Temple is the oldest temple in the temple-town of Khajuraho. This late 9th century Devi temple is now in ruins, but the shrine cells and other remnants remain at the site. There are no sculptures found here. A monument of national importance, remnants of this temple have been found in other places around the region.  "
1494,1495,Tamil Nadu,Chennai, 1. Explore The Marina Beach ,All Year, 4 km  from city center ," Marina Beach is a natural urban beach along the Bay of Bengal. The beach is stretched out to a distance of 13 kilometres making it the longest natural urban beach in the country, second largest in the world and also the most crowded beach in India with almost 30,000 visitors a day.  "
1495,1496,Tamil Nadu,Chennai," 2. Government Museum, Chennai ",All Year, 1 km  from city center ," Government Museum was established in 1851 and is the second oldest museum in the country after the Indian Museum in Kolkata. Situated in Egmore suburb of Chennai, it is built in the Indo-Sarcenic style and houses a rich collection of the works of Raja Ravi Varma.  "
1496,1497,Tamil Nadu,Chennai, 3. MGR Film City ,All Year, 8 km  from city center ," Having been established in the year 1994, a considerably new structure, the MGR Film city is managed by the Government of Tamil Nadu in loving memory of MG Ramachandran who was not only a crowd-pleasing tamil actor but also a longtime CM of Tamil Nadu. "
1497,1498,Tamil Nadu,Chennai, 4. Breezy Beach ,All Year, 9 km  from city center ," Breezy Beach lays in the remote and serene neighbourhood of Valmiki Nagar in Chennai. Being smaller and less polluted, its a perfect getaway for anyone looking for a peaceful evening. "
1498,1499,Tamil Nadu,Chennai, 5. Marundeeswarar Temple ,All Year, 8 km  from city center ," The magnificent Marundeeswarar Temple, in Tiruvanmiyur, near Chennai has the temple deity Shiva in the form of Marundeeswar or Aushadeeswarar, the God of Medicines. A fine specimen of Dravidian architecture, this temple is a must visit for anyone visiting Chennai or nearby cities. "
1499,1500,Tamil Nadu,Chennai, 6. Arignar Anna Zoological Park ,All Year, 27 km  from city center ," Arignar Anna Zoological Park aka Vandalur Zoo, is a zoological garden located in Vandalur is spread over an area of 602 hectares, including a rescue and rehabilitation centre. The zoo shelters about 3000 species of flora and fauna across twelve hundred acres including 46 endangered species, in its 160 enclosures. "
1500,1501,Tamil Nadu,Chennai, 7. Valluvar Kottam ,All Year, 1 km  from city center ," Valluvar Kottam is an auditorium, with a gigantic capacity to hold 4,000 people, built in remembrance of the poet-saint, Tiruvalluvar. Verses of the poet Tiruvalluvar are embellished on the pillars in and around the auditorium. "
1501,1502,Tamil Nadu,Chennai, 8. Ashtalakshmi Temple ,All Year, 8 km  from city center ," The Chennai Ashtalakshmi temple is situated in Besant Nagar, on the shores of the Bay of Bengal. That stretch of beach is known as the Elliot's beach. The temple was constructed on the express wishes of Sri Mahaa Periyavaal of Kanchi Mutt, Sri Chandrasekara Saraswati Swamigal. (br) The temple's architecture is unique, with the deities installed in four levels.  "
1502,1503,Tamil Nadu,Chennai, 9. Read Some Books at Connemara Library ,All Year, 1 km  from city center , The Connemara Public Library at Chennai holds the prestigious status of being amongst one of the four deposit libraries in India which entitles them to a copy of every publication in India. 
1503,1504,Tamil Nadu,Chennai, 10. Trek the Koli Hills ,All Year, 279 km  from city center ," With an ominous name which means ‘Mountain of Death’, Kolli Hills or Kolli Malai are a mountain range located in the Namakkal district of Tamil Nadu. It is relatively untouched by commercial tourism and therefore has retained most of its natural magnificence.  "
1504,1505,Tamil Nadu,Chennai, 11. Elliot's Beach ,All Year, 7 km  from city center ," A beach showcasing beauty, calmness, serenity and everything that signifies nature at its best, the Elliot's beach cannot be forgotten by anyone who has visited it once. "
1505,1506,Tamil Nadu,Chennai, 12. Enjoy the games at VGP Golden Beach ,All Year, 16 km  from city center ," Considered as one of the cleanest and beautiful beaches in Chennai, VGP Golden beach is one of the most sought after destinations in the area by family and friends.  "
1506,1507,Tamil Nadu,Chennai, 13. ISKCON (Hare Rama Hare Krishna) Temple ,All Year, 17 km  from city center ," ISKCON Temple Chennai is a  temple devoted to Lord Krishna. It is located on the East Coast Road at southern Chennai. Built on 1.5 acres of land, ISKCON, Chennai is the biggest Radha Krishna temple in Tamil Nadu. It was officially inaugurated on 26 April 2012. The deities revered in the temple include those of Radha Krishna and lord's family, including Sri Sri Nitai Gauranga. "
1507,1508,Tamil Nadu,Chennai, 14. Vivekananda House ,All Year, 4 km  from city center ," Vivekananda House also popularly known as The Ice House, is a shrine and pilgrimage centre for the admirers and followers of Swami Vivekananda. It is in this house that Swami Vivekananda stayed for six weeks in 1900. "
1508,1509,Tamil Nadu,Chennai, 15. Akkarai Beach ,All Year, 18 km  from city center ," The sandy coastline begins from Ennore in the north extending south into Uthandi, leaving one to choose from more than just Marina and Elliot's beach. "
1509,1510,Tamil Nadu,Chennai, 16. Dakshinachitra Museum ,All Year, 2 km  from city center ," Dakshinachitra Museum is one of the living-history museums in India which stores in itself great works of architecture, crafts, performing arts, and lifestyles that belong to South India.  "
1510,1511,Tamil Nadu,Chennai, 17. Santhome Cathedral Basilica ,All Year, 4 km  from city center ," Santhome Cathedral is a historical and ancient pilgrim centre, which was built during the 14th to the 15th century A D by the then reigning, Portuguese. "
1511,1512,Tamil Nadu,Chennai, 18. Madras War Cemetery ,All Year, 8 km  from city center , The Madras War Cemetery houses the last remains of around 855 martyrs who laid down their precious lives at the battlefronts in the devastating Second World War and also a Memorial stone for 1000 more who died fighting in the Great War before that. 
1512,1513,Tamil Nadu,Chennai, 19. Madras Crocodile Bank Trust ,All Year, 35 km  from city center ," The Madras Crocodile Bank is not to be confused with a zoo. Yes, you can certainly take a look at the reptiles in captivity. But unlike a zoo, this has a much more in-depth operation through ex-situ and in-situ conservation. Right now, it is home to around 17 croc subspecies and some other reptiles like frogs, lizards, snakes and turtles as well. "
1513,1514,Tamil Nadu,Chennai, 20. Be amazed at MGM Dizzee World ,All Year, 26 km  from city center ," MGM Dizzee World is one of the largest and oldest amusement parks in India. It brought Jurong’s Bird Show from Singapore to India way back in 1999. There are extreme level thrill rides, but nice and enjoyable ones are there too. The park has something for every age group.  "
1514,1515,Tamil Nadu,Chennai, 21. Shirdi Sai Baba Temple ,All Year, 3 km  from city center , Shirdi Sai Baba temple in Chennai is among the most visited and respected places of worship In Tamil Nadu as well as India. Sai Baba is recognised as one of those spiritual reformers who does not have ties to any particular god of any religion but is a figure of worship himself. So there are no religious restrictions imposed upon those who visit the temple. 
1515,1516,Tamil Nadu,Chennai, 22. Nettukuppam ,All Year, 21 km  from city center , Nettukuppam is the northernmost tip of Chennai and has a beach which is yet not tarnished by encroaching crowds. It is a solitary retreat for those who seek to enjoy the raging sea up close but in a peaceful environment. The place is an ideal place to spend quiet time as it is still not on the radar of the maddening tourist crowd. 
1516,1517,Tamil Nadu,Chennai, 23. Prakasam Salai ,All Year, 6 km  from city center ," Built in 1795,a milestone in the history of Chennai, located Opposite Parry's Corner, Prakasam Salai is an impressive stylish building in Indo-Saracenic style with eminence in red bricks. "
1517,1518,Tamil Nadu,Chennai, 24. Thousand Lights Mosque ,All Year, 1 km  from city center ," The Thousand Lights Mosque of Royapettah, Chennai is among the most esteemed mosques of the city as well as the state of Tamil Nadu. Built in the early 19th century by the Wallajah family of the Carnatic rulers, it is till date a popular gathering place for the daily prayers and festive occasions like Muharram.  "
1518,1519,Tamil Nadu,Chennai, 25. Fort St. George ,All Year, 5 km  from city center ," The origin of the great white structure of Fort St. George is inextricable from the history of the city of Chennai itself. Popularly called the 'White Town', the sole purpose of establishing the massive fort compound was to build a British stronghold in the Coromandel Coast and the rest of south India.  "
1519,1520,Tamil Nadu,Chennai, 26. Chennai Sangamam ,All Year, 5 km  from city center ," The Chennai Sangamam, a large open Tamil festival, also coincides with the Pongal season. It is organized in various open locations like beaches, parks etc and showcase traditional folk events, martial arts and classical dance, to name a few. In addition the festival brings together the best that South Indian cuisine has to offer – from tasty panirayams to the traditional pongal. 
 "
1520,1521,Tamil Nadu,Chennai, 27. Buy Fishes at the Royapuram Fishing Harbour ,All Year, 9 km  from city center ," Under the administration of Chennai Port Trust, Royapuram Fishing Harbour is one of the most popular fishing grounds in Chennai. Located in a region which is famous for seafood, this harbour surely has its name among the busiest fishing hubs of Tamil Nadu.  "
1521,1522,Tamil Nadu,Chennai, 28. Santhome Church ,All Year, 4 km  from city center ," San Thome Church is among the only three in the world that house the tombs of one of Christ's original disciples. If you visit this church, you will be stepping into a historical tale that will take you back a couple of centuries. The museum inside displays souvenirs of the great saint and his legend. "
1522,1523,Tamil Nadu,Chennai, 29. Kapaleeswarar Temple ,All Year, 4 km  from city center ," Kapaleeswarar Temple is a holy shrine of Shiva in Mylapore, Chennai. A visit to this temple will be an experience enriched with a glimpse into Tamil religious culture and the lovely architectural combination of the two styles – Dravidian and Vijaynagari, complete with towering Gopurams.  "
1523,1524,Tamil Nadu,Chennai, 30. Mylapore ,All Year, 3 km  from city center ," Mylapore is one of the oldest and culturally enriched neighbourhoods, located in the southern part of Chennai. It is very much traditionalist to its core and boasts many temples, churches and historical monuments.  "
1524,1525,Tamil Nadu,Chennai, 31. Roam the Express Avenue ,All Year, 2 km  from city center ," Express Avenue is a mall in Royapettah of Chennai owned, developed and promoted by Express Infrastructure. The premise includes commercial and hospitality sectors as well. E Hotel is the name of the 4-star boutique luxury-lodging, which caters to the guests all year long with its 44 room capacity. But the mall is the main attraction of the place.  "
1525,1526,Tamil Nadu,Chennai, 32. Vadapalani Murugan Temple ,All Year, 4 km  from city center ," Vadapalani Murugan Temple is one of the most popular temples dedicated to Lord Murugan. Located in Vadapalani, Chennai, the temple is known for helping devotees finding solutions to life's problems. It is also believed that worshipping Lord Murugan here is as pious as praying to him at the original Palani temple. "
